PlotNoP1,PlotNoP2,PlotNoP3,PlotNoP4,PlotNoP5,PlotNoP6,Date-Part2,Date1-Part4A,Date2-Part4A,Date1-Part4B,Date2-Part4B,Date3-Part4B,Date4-Part4B,Date5-Part4B,Date-Part7,NHBCNo,Address,Address2,Postcode,TestInterval,DBInfo,Filename
Plot B.1-1-8,Plot B.1-1-8,Plot B.1-1-8,Plot B.1-1-8,Plot B.1-1-8,Plot B.1-1-8,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,AW013072,"10 Gas Holder Place,","London,",  SE11 5BF,10 years.,Ryefield Board: MSDB-B1-1,"R459-MBS-BZ-01-CT-X-61118 - B118 - DCN18 Domestic Electrical Cert - Flat 10 - 10 Gas Holder Place, London, SE11 5BF.pdf"
Plot B.1-1-9,Plot B.1-1-9,Plot B.1-1-9,Plot B.1-1-9,Plot B.1-1-9,Plot B.1-1-9,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,AW013073,"10 Gas Holder Place,","London,",  SE11 5BF,10 years.,Ryefield Board: MSDB-B1-1,"R459-MBS-BZ-01-CT-X-61119 - B119 - DCN18 Domestic Electrical Cert - Flat 11 - 10 Gas Holder Place, London, SE11 5BF.pdf"
Plot B.1-1-10,Plot B.1-1-10,Plot B.1-1-10,Plot B.1-1-10,Plot B.1-1-10,Plot B.1-1-10,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,AW013102,"10 Gas Holder Place,","London,",  SE11 5BF,10 years.,Ryefield Board: MSDB-B1-1,"R459-MBS-BZ-01-CT-X-611110 - B1110 - DCN18 Domestic Electrical Cert - Flat 23 - 10 Gas Holder Place, London, SE11 5BF.pdf"
Plot B.1-1-11,Plot B.1-1-11,Plot B.1-1-11,Plot B.1-1-11,Plot B.1-1-11,Plot B.1-1-11,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,AW013101,"10 Gas Holder Place,","London,",  SE11 5BF,10 years.,Ryefield Board: MSDB-B1-1,"R459-MBS-BZ-01-CT-X-611111 - B1111 - DCN18 Domestic Electrical Cert - Flat 24 - 10 Gas Holder Place, London, SE11 5BF.pdf"
Plot B.1-2-1,Plot B.1-2-1,Plot B.1-2-1,Plot B.1-2-1,Plot B.1-2-1,Plot B.1-2-1,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,AW013074,"10 Gas Holder Place,","London,",  SE11 5BF,10 years.,Ryefield Board: MSDB-B1-1,"R459-MBS-BZ-02-CT-X-61121 - B121 - DCN18 Domestic Electrical Cert - Flat 25 - 10 Gas Holder Place, London, SE11 5BF.pdf"
Plot B.1-2-2,Plot B.1-2-2,Plot B.1-2-2,Plot B.1-2-2,Plot B.1-2-2,Plot B.1-2-2,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,AW013075,"10 Gas Holder Place,","London,",  SE11 5BF,10 years.,Ryefield Board: MSDB-B1-1,"R459-MBS-BZ-02-CT-X-61122 - B122 - DCN18 Domestic Electrical Cert - Flat 26 - 10 Gas Holder Place, London, SE11 5BF.pdf"
Plot B.1-2-3,Plot B.1-2-3,Plot B.1-2-3,Plot B.1-2-3,Plot B.1-2-3,Plot B.1-2-3,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,AW013076,"10 Gas Holder Place,","London,",  SE11 5BF,10 years.,Ryefield Board: MSDB-B1-1,"R459-MBS-BZ-02-CT-X-61123 - B123 - DCN18 Domestic Electrical Cert - Flat 27 - 10 Gas Holder Place, London, SE11 5BF.pdf"
Plot B.1-2-4,Plot B.1-2-4,Plot B.1-2-4,Plot B.1-2-4,Plot B.1-2-4,Plot B.1-2-4,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,AW013077,"10 Gas Holder Place,","London,",  SE11 5BF,10 years.,Ryefield Board: MSDB-B1-1,"R459-MBS-BZ-02-CT-X-61124 - B124 - DCN18 Domestic Electrical Cert - Flat 28 - 10 Gas Holder Place, London, SE11 5BF.pdf"
Plot B.1-2-5,Plot B.1-2-5,Plot B.1-2-5,Plot B.1-2-5,Plot B.1-2-5,Plot B.1-2-5,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,AW013078,"10 Gas Holder Place,","London,",  SE11 5BF,10 years.,Ryefield Board: MSDB-B1-1,"R459-MBS-BZ-02-CT-X-61125 - B125 - DCN18 Domestic Electrical Cert - Flat 29 - 10 Gas Holder Place, London, SE11 5BF.pdf"
Plot B.1-2-6,Plot B.1-2-6,Plot B.1-2-6,Plot B.1-2-6,Plot B.1-2-6,Plot B.1-2-6,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,AW013079,"10 Gas Holder Place,","London,",  SE11 5BF,10 years.,Ryefield Board: MSDB-B1-1,"R459-MBS-BZ-02-CT-X-61126 - B126 - DCN18 Domestic Electrical Cert - Flat 30 - 10 Gas Holder Place, London, SE11 5BF.pdf"
